,PetalLengthCm,PetalWidthCm,labelExata
84,4.5,1.5,Iris-versicolor
47,1.4,0.2,Iris-setosa
108,5.8,1.8,Iris-virginica
1,1.4,0.2,Iris-setosa
93,3.3,1.0,Iris-versicolor
144,5.7,2.5,Iris-virginica
125,6.0,1.8,Iris-virginica
92,4.0,1.2,Iris-versicolor
86,4.7,1.5,Iris-versicolor
46,1.6,0.2,Iris-setosa
135,6.1,2.3,Iris-virginica
7,1.5,0.2,Iris-setosa
65,4.4,1.4,Iris-versicolor
10,1.5,0.2,Iris-setosa
132,5.6,2.2,Iris-virginica
13,1.1,0.1,Iris-setosa
15,1.5,0.4,Iris-setosa
61,4.2,1.5,Iris-versicolor
91,4.6,1.4,Iris-versicolor
116,5.5,1.8,Iris-virginica
27,1.5,0.2,Iris-setosa
69,3.9,1.1,Iris-versicolor
118,6.9,2.3,Iris-virginica
136,5.6,2.4,Iris-virginica
97,4.3,1.3,Iris-versicolor
96,4.2,1.3,Iris-versicolor
43,1.6,0.6,Iris-setosa
64,3.6,1.3,Iris-versicolor
119,5.0,1.5,Iris-virginica
90,4.4,1.2,Iris-versicolor
6,1.4,0.3,Iris-setosa
88,4.1,1.3,Iris-versicolor
39,1.5,0.2,Iris-setosa
74,4.3,1.3,Iris-versicolor
112,5.5,2.1,Iris-virginica
77,5.0,1.7,Iris-versicolor
110,5.1,2.0,Iris-virginica
85,4.5,1.6,Iris-versicolor
9,1.5,0.1,Iris-setosa
106,4.5,1.7,Iris-virginica
120,5.7,2.3,Iris-virginica
31,1.5,0.4,Iris-setosa
80,3.8,1.1,Iris-versicolor
100,6.0,2.5,Iris-virginica
4,1.4,0.2,Iris-setosa
127,4.9,1.8,Iris-virginica
54,4.6,1.5,Iris-versicolor
149,5.1,1.8,Iris-virginica
72,4.9,1.5,Iris-versicolor
37,1.5,0.1,Iris-setosa
134,5.6,1.4,Iris-virginica
51,4.5,1.5,Iris-versicolor
102,5.9,2.1,Iris-virginica
36,1.3,0.2,Iris-setosa
111,5.3,1.9,Iris-virginica
53,4.0,1.3,Iris-versicolor
139,5.4,2.1,Iris-virginica
82,3.9,1.2,Iris-versicolor
142,5.1,1.9,Iris-virginica
71,4.0,1.3,Iris-versicolor
70,4.8,1.8,Iris-versicolor
148,5.4,2.3,Iris-virginica
99,4.1,1.3,Iris-versicolor
75,4.4,1.4,Iris-versicolor
114,5.1,2.4,Iris-virginica
62,4.0,1.0,Iris-versicolor
67,4.1,1.0,Iris-versicolor
22,1.0,0.2,Iris-setosa
140,5.6,2.4,Iris-virginica
23,1.7,0.5,Iris-setosa
76,4.8,1.4,Iris-versicolor
48,1.5,0.2,Iris-setosa
59,3.9,1.4,Iris-versicolor
73,4.7,1.2,Iris-versicolor
89,4.0,1.3,Iris-versicolor
81,3.7,1.0,Iris-versicolor
17,1.4,0.3,Iris-setosa
145,5.2,2.3,Iris-virginica
138,4.8,1.8,Iris-virginica
95,4.2,1.2,Iris-versicolor
98,3.0,1.1,Iris-versicolor
79,3.5,1.0,Iris-versicolor
3,1.5,0.2,Iris-setosa
28,1.4,0.2,Iris-setosa
141,5.1,2.3,Iris-virginica
121,4.9,2.0,Iris-virginica
33,1.4,0.2,Iris-setosa
45,1.4,0.3,Iris-setosa
42,1.3,0.2,Iris-setosa
115,5.3,2.3,Iris-virginica
40,1.3,0.3,Iris-setosa
32,1.5,0.1,Iris-setosa
146,5.0,1.9,Iris-virginica
143,5.9,2.3,Iris-virginica
66,4.5,1.5,Iris-versicolor
49,1.4,0.2,Iris-setosa
8,1.4,0.2,Iris-setosa
30,1.6,0.2,Iris-setosa
117,6.7,2.2,Iris-virginica
56,4.7,1.6,Iris-versicolor
21,1.5,0.4,Iris-setosa
0,1.4,0.2,Iris-setosa
131,6.4,2.0,Iris-virginica
52,4.9,1.5,Iris-versicolor
126,4.8,1.8,Iris-virginica
38,1.3,0.2,Iris-setosa
44,1.9,0.4,Iris-setosa
147,5.2,2.0,Iris-virginica
57,3.3,1.0,Iris-versicolor
55,4.5,1.3,Iris-versicolor
94,4.2,1.3,Iris-versicolor
109,6.1,2.5,Iris-virginica
103,5.6,1.8,Iris-virginica
58,4.6,1.3,Iris-versicolor
137,5.5,1.8,Iris-virginica
50,4.7,1.4,Iris-versicolor
87,4.4,1.3,Iris-versicolor
104,5.8,2.2,Iris-virginica
129,5.8,1.6,Iris-virginica
122,6.7,2.0,Iris-virginica
